job_link,job_title,company,job_desc
https://www.indeed.com.sg/company/%E7%8F%A0%E6%B5%B7%E5%8D%97%E7%A7%91%E5%8C%BB%E7%96%97%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/jobs/Software-Devel-ca97240227bec0f3?fccid=8f56811a270ae543&vjs=3,SALES & MARKETING EXECUTIVE,Gridline Design Lab Pte Ltd,"$2,500 - $3,000 a month
Job Description
We are seeking a driven, self-motivated sales and marketing executive to join our growing organization. In this position, you will be responsible for pursuing sales opportunities through traditional channels and by utilizing new technology and communication software to reach new prospects. Strong interpersonal skills and a customer-focused approach are a must.
Job Requirements
Sales & Marketing Executive Duties and Responsibilities
Actively seek out new sales opportunities through cold calling, networking, and social media
Build networks and spheres of influence in order to grow prospect lists
Listen and draw out the concerns/problems of others to identify possible solutions
Identify the traits of the ideal customer and seek to find others with the same traits
Conduct market research to identify selling possibilities and evaluate customer needs
Set up meetings with potential clients
Prepare and deliver presentations on products/services
Prepare and report on goals, sales, and prospects
Participate in events and conferences on behalf of the company
Negotiate and close deals, handle complaints or objection
Sales and Marketing Executive Requirements and Qualifications
Certificate, Diploma or Higher
Proven experience as a sales & marketing executive or relevant role
Thorough understanding of marketing and negotiating techniques
Excellent knowledge of MS office
Proficiency in written and spoken English; second language a plus
Experience with customer relationship and well networked
Experience in F&B, Retail and Office Fit-Out will be an advantage
Successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits.
Please submit your updated resume in Word format.
We regret that only shortlisted candidates will be notified
Job Type: Full-time
Salary: $2,500.00 to $3,000.00 /month
Experience:
Marketing: 2 years (Preferred)
Education:
Professional Qualification or Polytechnic Diploma (Preferred)
Location:
Singapore (Preferred)
Language:
English (Preferred)"
https://www.indeed.com.sg/company/3Media-Technologies-Pte-Ltd/jobs/Web-Programmer-dcd44e2f1adf6485?fccid=7944695af02ee798&vjs=3,Mobile & Web Application Developer,MHC MEDICAL NETWORK PTE LTD,"$2,400 - $3,200 a month
Responsibilities:
Developing iOS, Android, Web App
Writing API (RESTful)
Server Setup (Configure server, database)
Testing
We believe strongly in full stack development. You must be passionate about your work. love challenges and not afraid of experimenting. Continuous upgrade of your knowledge and skills should be a second nature to you as you may be required to pickup new skills/language along the way.
You will definitely be exposed to iPhone, Android, Client side and server side web developments. Only candidates willing to learn and take up this challenge may apply.
We are willing to accept candidates from different schools of expertise in Java, .NET, C, PHP or even Action script. If you are able to work with Multimedia and/or Database, you have a plus. Good knowledge in MVC and/or Graphics Design is a plus.
You will have secondary responsibilities as well such as DB Admin and Testing.
Requirements:
Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology, Engineering (Computer/Telecommunication), Science & Technology or equivalent.
Required skill(s): Objective C, Swift, C, Java, Javascript, MySQL.
At least 2 year(s) of working experience in the related field is required for this position.
Preferably Junior Executives specializing in IT/Computer - Software, IT/Computer - Network/System/Database Admin or equivalent.
Interested applicants, please write in with your C.V including the following information.
Reason for leaving your current job.
Availability
Current and expected salary.
Job Type: Full-time
Salary: $2,400.00 to $3,200.00 /month
Experience:
Information Technology: 2 years (Preferred)"
https://www.indeed.com.sg/company/75F-Singapore-Pte-Ltd./jobs/Engineer-cdc80d855fbf5155?fccid=ecc8b142dfd111d7&vjs=3,Illustrator and Animator,Trinax Private Limited,"$2,200 - $3,000 a month
Contract, Internship
Trinax is technology agency devoted to creating fun and rewarding experiences for children and adults alike. We produce content for what we love and what we are passionate about in a mixture of multiple disciplines: marketing, gaming and technology. By combining innovative technologies with our curious sense of creativity and love of gaming, we create award-winning digital experiences that draw people in and encourage them to engage and enjoy themselves.
We are expanding our team and looking for an creative and energetic dual disciplinedIllustrator andAnimatorto join us.
This position requires one to illustrate characters and storyboard, develop animations in mainly 2D (3D is a plus) upon creative development work with our various team members from design, sales and engineering teams.
*Responsibilities
*
- Assist Sales Team in producing illustrations based on concepts discussed with clients
- Assist Engineering Team in producing animations for games and other software applications
- Development of 2D and 3D animations
- Assist in developing illustrations for 3D artists to produce 3D models
Required Skills
Highly competent in Adobe's After Effects, Illustrator and Photoshop.
Capable of working with other team members and departments such as Sales amd Engineering.
Capable of working independently and within teams, and make positive contributions.
Excellent verbal and written communication skills.
Attention to detail to ensure that creative works are of the highest quality.
Ability to prioritize tasks and contribute to multiple projects simultaneously.
Performance and deadline oriented.
Problem solving abilities by peforming healthy debates, hold productive discussions and source for solutions.
Contributes to team efforts by accomplishing tasks on time.
Job Types: Full-time, Internship, Contract
Salary: $2,200.00 to $3,000.00 /month
Experience:
Illustrator and Animator: 2 years (Preferred)"
https://www.indeed.com.sg/company/AEON-SEARCH-CONSULTING/jobs/Business-Quality-Engineer-62b1bee95345b2ee?fccid=c091ca2a32df8df1&vjs=3,Logistics Operations Manager,TSCL,"$4,000 a month
Job Responsibilities:
Incident investigation, incident reporting and corrective action implementation
Daily, weekly and monthly reporting to various customers as dictated by contract or management
Major customer lead contact for Operations activities - BCSIS
Manage productivity reporting
Improve reporting process for controllers and Executives; collate, interpret and report on all data from the department
Manage Certifications such as BizSafe and ISO renewals
Work with Corporate PDI to see the use of technology adopted by the department
Process improvement through process evaluation, mapping, risk assessment and reengineering
Personal Data Protection officer
Review and evaluates Business Continuity Plans documentation
Update Business Continuity documentation with the latest regulatory requirements
Manage SOP for departments – must have good command of written English for both reporting and for recording operating procedures
Requirements:
Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, any field.
At least 5 year(s) of working experience in the related field is required for this position.
Preferably Managers specializing in Logistics/Supply Chain, Training & Development or equivalent
Singaporean only
Job Type: Full-time
Salary: $4,000.00 /month
Experience:
Operations: 5 years (Preferred)
Education:
Professional Qualification or Polytechnic Diploma (Required)
Location:
Singapore (Required)"
https://www.indeed.com.sg/company/AIRDELY-Technologies-Pte-Ltd/jobs/Data-Entry-Clerk-db20879d6186afdd?fccid=62a6196a03c50f84&vjs=3,Business Development Representative,Aspire,"Permanent
We are on the lookout for a SUPERSTAR Business Development Representative to join a fast-paced, global digital marketing agency.
You will be a highly motivated and driven individual with excellent client relationship building skills.
If you would like the opportunity to be a part of this company's continuous growth throughout APAC, in a challenging role that is offering unlimited potential, look no further!
The role would suit a proactive personality with strong engagement ability, someone who is not afraid to pick up the phone and hit the ground running.
As Business Development Representative, you will support the marketing and sales departments through lead generation, qualify inbound and outbound leads to enable continued growth across APAC.
Focusing on companies within the Technology space, you will be hungry to make a difference to grow and succeed. You will identify and contact key, relevant decision makers responsible for global renowned brands with a view of driving new business opportunities.
Key Requirements
Minimum of 1 years' experience in a B2B sales role
The ability and desire to work in a fast-paced challenging environment
Excellent communication skills in English
The desire to meet and exceed measurable performance goals
The ability to handle objections
If this sounds like you and are looking for a new challenge in a fast-paced, rapidly growing environment then we would love to hear from you!
EA # :R1767195
Licence # :11C4388"
https://www.indeed.com.sg/company/Absolute-Collective/jobs/Ui-0a815b96eadaecc6?fccid=a8dd59e88c72f395&vjs=3,Business Analyst (Data Analytics),Government Technology Agency,"Permanent
(Job Number: 01U74)
We are looking for Business Analysts (Data Analytics) who's interested in using data to help the government design solutions that address its policy and business problems, and stay close to the needs of the general public. The applicant will be responsible for demonstrating how better use of data can help recommend new policies, streamline operations or bring more customised solutions for citizens. He/she should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data visualisation.

What to Expect:
Provide data analytics consulting services to the government agencies, including data analytics planning and strategy – perform data analytics visioning and road-mapping, business case development, implementation planning, organisational planning, budget and risk management planning
Work closely with stakeholders to understand their needs/pain points, scope the problem and develop business case on how to turn data into critical information and knowledge that can be used for policy making, streamlining operations or developing solutions for citizens.
Advise stakeholders on the key ICT trends and best practices in data analytics, assess applicability for adoption and recommend solution that best fits stakeholders’ needs
Perform data cleaning, pre-processing and feature engineering that facilitate meaningful analysis
Work closely with data scientists to mine insights from structured and unstructured data and to resolve complex statistical modelling problems to answer pertinent business questions.
Design dashboards and interactive visualization as tools for data exploration as well as for storytelling. Present analytics insights to business users and stakeholders
Work with stakeholders to ensure smooth deployment and adoption of new solution
How to Succeed:
Degree/Master in any discipline; Diploma graduates with relevant experience will also be considered.
Minimum 3 years of relevant working experience
Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges
Understand key concepts, techniques and considerations in Machine learning and Data analytics
Training and relevant experience in one or more of the following areas:
Statistical modelling tools such as: R, Python, RapidMiner, Knime, SAS, Matlab or SPSS
Data manipulation using scripting languages like Python or using ETL tools
Visual analytics technologies like Tableau, Qlikview or D3.js
End-to-end analytics architecture, preferably with some working knowledge of big data stack
Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders
Strong analytical, conceptualisation and problem solving skills
Team player with strong organization and people handling skills
Passion for the use of analytics and data to improve public service

Schedule - Full-time
Employee Status - Permanent"
https://www.indeed.com.sg/company/Absolute-Search-Management-Pte-Ltd/jobs/Software-Analyst-Developer-3771f0b4ac1f6422?fccid=c9026d4db273fff8&vjs=3,Marketing and Design Executive,The Executive Home Store Pte Ltd,"$2,000 - $2,800 a month
Permanent
Job Requirements:
For those who seek a career in marketing and designing, creating and delivering communication design content for various online and offline marketing channels in social media, newspapers and magazines
Work with marketing team in executing visual concepts according to brand guidelines and marketing contents to communicate ideas that inspiring, informative, engaging and effective
Assist the marketing team in design stages such as conceptualization and proposal mock-ups, from ideation to execution
Able to contribute ideas to marketing and promotional campaigns
Work closely with the marketing team to ensure project timelines as well as the quality of output for creative work
Job Description:
Entry level candidates with good portfolio demonstrating design and creativity skills are welcome to apply. 1 to 2 years experience in design or related discipline will be an added advantage
Sufficient technical knowledge to suggest web-based technologies to be applied to the design
Proficient in design-based tools eg. Adobe IIllustrator, Photoshop etc
Good understanding of design principles and able to apply to work in layout, typography and photography
Resilient, resourceful and reliable and able to work independently to deliver within time constraints
Experience in copywriting will be an added advantage
Knowledge of multimedia software such as Premier Pro/Movie Pro will be an added advantage
How to Apply:
Kindly call 6775 1659 or email us to fix appointment for interview. Interviews will be conducted from 2pm to 5pm on weekdays @ 8 Pandan Crescent, #01-05 (along West Coast Highway) Singapore 128464
Job Types: Full-time, Permanent
Salary: $2,000.00 to $2,800.00 /month"
https://www.indeed.com.sg/company/Ackerman-global/jobs/Studio-Operation-Officer-f0aef6de315a4632?fccid=0b9bba5e408db339&vjs=3,Offline Marketing Executive (New position!New start up company!),QI XIANG Technology Pte Ltd (Bao He Group),"$2,500 - $3,500 a month
Permanent
Xindots a start up development team supported by a venture capitalist. We vision ourself to be future game changer in the lifestylefield! Starting from F&B With the mission “Connecting Change”, XINDOTS was born to transform the F&B industry in Singapore. Because to us, your dining experience should be as easy as a flick of your thumb.
Website URL: www.xindots.com
Website URL: www.baohegroup.com
*About the job:
Candidate will play a key role in driving offline marketing in Singapore by overseeing and leading the team through execution of all of our campaigns.
*
To work closely with Business Development to plan & execute strategic campaigns
Data collection from all areas to improve offline initiatives
Working closely with design team to produce quality contents for all offline collaterals
To recruit and manage team of promoters
5 days work week, Medical and dental insurance benefits, Work life balance working environment.
Applicant require work pass need not apply. We regret that we only shortlisted candidate will be notified.
Job Types: Full-time, Permanent
Salary: $2,500.00 to $3,500.00 /month
Experience:
Marketing: 2 years (Required)
Location:
Singapore (Required)
Language:
Chinese (Preferred)"
https://www.indeed.com.sg/company/Adept-Manpower-Solutions-Pte.-Ltd./jobs/IT-Trainer-3592d03e7f1dfb28?fccid=cf5e5bcdd9ec701e&vjs=3,Web Analytics Engineer,Sparkline,"Description
This job opportunity is listed on Jobbatical.com, a platform that helps people like you get jobs around the world. Sign up today to apply to this listing and see similar jobs with unique immigration and relocation benefits.

In this role you will leverage your engineering, software architecture and technology integrations expertise. You will oversee the scoping, design and implementation of marketing and analytics technology solutions across the client’s desktop sites, mobile sites, and mobile apps. With an eye for detail, you will ensure effective work planning whilst preempting and mitigating issues to deliver on time.

As the client’s main point of contact throughout the implementation phase, you will communicate with clarity across all channels to keep the Client up to date, not only on progress but on the impact and value being generated every step of the way.

You keep connected with the ever evolving digital technology landscape to help identify new solutions and skills that could create greater opportunities. Your consultative approach will help develop strong relationships that will allow you to innovate and deliver business impacting solutions. This, paired with an inquisitive style and proven ability to get to the root of a problem, will ensure you deliver cohesive and scaleable ideas for our clients.

At Sparkline social capital is king! Your success will be based on your ability to collaborate, cooperate and ideate with Sparks across the business.
Summary
We get under the hood of a client’s technology stack. Using our expertise in digital technologies and best-in-class integrations, we deliver creative solutions, quality execution and strategic value to our clients. You will build a relationship with your client that goes beyond technology, to derive technical solutions that maximise functionality and activate opportunity.
Requirements
You have a degree in computer science or a related field.
You have at least 2 years of experience working in client facing roles, using a consultative approach for technical solutions.
You have at least 2 years of experience working with analytics and tag management solutions; specifically the Adobe and Google Analytics Suites.
You have experience using JavaScript and Google Developer APIs.
You have experience in software engineering practises, delivering scalability when writing code.
You have experience implementing marketing technology and/or cloud solutions.
You have had exposure to big data platforms and technologies such as Google BigQuery and SQL.
Compensation
Work with awesome colleagues, enjoy a fully-stocked pantry, and Friday team time.
Mental health days.
Excellent work-life balance.
Non-stop learning opportunities.
Quarterly all-hands.
Medical insurance.
Apply and let's discuss your salary and benefits.
Responsibilities
Demonstrating your natural bias for action, you will chase every opportunity to flex your entrepreneurial muscles and contribute to delivering impactful solutions for our clients.
You will enjoy working with a degree of ambiguity and see the challenge in not having all the pieces of the puzzle in front of you.
You will be a passionate learner with the ability to pick up new tools and languages with ease."
https://www.indeed.com.sg/company/Adept-Manpower/jobs/Business-Development-Executive-3a3e39d5906a096c?fccid=acae30373c1a99d1&vjs=3,IT Support Executive,Eagle Infotech Consultants,"$1,600 - $1,900 a month
Permanent
Company background:
Our Company, a SSG accredited training organisation, is a training provider specialising in IT and Softskills courses. We are one of the pioneers in this industry, having more than 30 years of experience in this field. We have 9 training rooms in our centre and also conduct off-site training at other venues or at client’s premises.
Our mission is to provide excellent and quality training in computer technology & soft skills, through qualified and experienced trainers, tailored to customers’ needs. In addition, we also foster a working environment that focuses on our values – excellence, accountability, growth, life-long learning and enthusiasm.
Position Summary:
The candidate will work alongside the IT Manager to assist in day-to-day IT issues, such as maintenance, network, software and hardware troubleshooting. Candidate will also be involved in some administrative work.
Responsibilities:
Troubleshoot day-to-day IT issues experienced by staff, trainers and participants
Maintenance of computers, laptops and tablets in our computer labs
Handle logistics with regards to our Mobile computer labs
Perform some administrative work
Candidate should ideally have:
Some experience in IT related field
Is confident and competent in using the Computer (Microsoft Excel and other MS programs)
Be very willing to learn
Quite good at thinking on his/her feet and solving problems
Able to converse in Chinese
Only Singaporeans, Malaysiansand Singapore PRsmay apply.
Excellent exposure. Comfortable environment. Central location.
Periodic salary adjustments depending on performance.
Job Types: Full-time, Permanent
Salary: $1,600.00 to $1,900.00 /month
Experience:
IT: 1 year (Preferred)
Location:
Singapore (Required)
Language:
English (Required)"
